Index,N1a,N2a,N3a,N4a,N5a,N6a,N7a,N8a,N9a,N10a,N11a,N12a,N13a,N14a,N15a,N16a,N17a,N1b,N2b,N3b,N4b,N5b,N6b,N7b,N8b,N9b,N10b,N11b,N12b,N13b,N14b,N15b,N16b,N17b,Type,Condition
61,7,7,2,9,6,7,9,2,8,6,9,3,10,9,9,9,10,7,3,6,10,6,8,5,7,8,9,3,2,9,4,9,7,8,Slow,Neglect
62,3,3,7,1,9,2,1,4,1,10,1,4,7,8,1,5,2,3,8,10,1,3,9,1,1,9,10,7,4,4,10,2,10,9,Slow,Neglect
63,9,5,4,8,4,4,4,1,4,1,3,9,9,4,6,3,5,9,5,9,7,9,2,6,10,3,4,5,5,1,6,4,3,8,Slow,Neglect
64,8,4,1,5,2,5,10,5,9,3,6,1,2,10,3,4,4,4,4,2,6,2,1,3,6,7,1,6,9,6,8,8,6,10,Slow,Neglect
65,5,10,9,9,7,1,7,8,2,2,7,10,3,7,2,1,6,1,2,3,3,10,5,7,4,6,3,1,10,10,5,7,4,7,Slow,Neglect
66,3,6,3,2,5,3,5,10,5,6,5,3,6,5,7,2,8,8,9,5,2,4,6,2,8,3,7,8,3,5,1,5,2,2,Slow,Neglect
67,4,3,2,4,3,7,3,3,3,5,10,7,1,6,6,9,7,10,10,8,4,9,8,6,9,10,8,3,4,2,3,2,9,4,Slow,Neglect
68,8,1,8,6,8,2,2,4,7,9,4,9,2,8,5,8,10,5,3,1,8,8,4,1,10,5,5,2,1,8,6,3,3,3,Slow,Neglect
69,6,8,10,3,10,5,9,7,10,4,8,5,7,3,10,7,9,3,6,4,9,6,7,8,5,4,6,10,6,3,4,2,10,5,Slow,Neglect
70,2,2,4,5,9,6,4,1,9,8,3,3,10,1,4,10,3,2,8,8,2,10,2,9,3,10,2,9,8,7,3,7,9,3,Slow,Neglect
71,9,7,5,1,4,10,5,6,1,7,1,2,4,10,1,6,1,9,1,1,1,1,9,4,2,2,10,3,7,5,9,10,6,1,Slow,Neglect
72,7,5,6,6,2,9,9,2,6,1,5,7,8,2,5,3,6,6,2,10,5,3,1,6,9,1,9,5,5,9,5,1,4,4,Slow,Neglect
73,5,4,2,1,6,4,10,9,5,3,2,8,6,4,7,4,4,7,9,3,3,7,10,10,1,9,5,7,3,4,7,6,2,5,Slow,Neglect
74,10,9,9,7,8,5,6,5,3,8,6,4,2,7,2,5,5,10,5,5,10,5,3,3,5,6,6,8,4,10,10,2,7,3,Slow,Neglect
75,4,7,5,9,1,2,2,8,8,10,7,6,5,8,1,1,1,2,6,2,4,4,7,9,4,4,1,9,2,2,8,3,5,9,Slow,Neglect
76,1,3,7,2,5,3,1,4,4,2,9,1,9,4,3,2,3,5,4,6,6,10,5,1,3,7,8,2,1,8,1,6,8,6,Slow,Neglect
77,2,2,1,4,7,9,3,7,6,1,4,10,1,10,10,7,2,8,7,8,5,9,8,5,6,2,4,1,3,1,5,4,10,7,Slow,Neglect
